|Unnamed: 0|id|fecha|anio|mes|dia|rol|victima|sexo|edad|fecha_deceso|edad_rango|dia_semana|acusado|hora_rango|x|y|lugar|direc_norm|comuna
0|0|2016-0001|2016-01-01|2016|1|1|CONDUCTOR|MOTO|MASCULINO|19.0|2016-01-01 00:00:00|4|Friday|AUTO|4|-58.47533969|-34.68757022|AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ|PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.|8
1|1|2016-0002|2016-01-02|2016|1|2|CONDUCTOR|AUTO|MASCULINO|70.0|2016-01-02 00:00:00|6|Saturday|PASAJEROS|1|-58.50877521|-34.66977709|AV GRAL PAZ  Y AV DE LOS CORRALES|PAZ, GRAL. AV. y DE LOS CORRALES AV.|9
2|2|2016-0003|2016-01-03|2016|1|3|CONDUCTOR|MOTO|MASCULINO|30.0|2016-01-03 00:00:00|5|Sunday|AUTO|7|-58.39040293|-34.63189362|AV ENTRE RIOS 2034|ENTRE RIOS AV. 2034|1
3|3|2016-0004|2016-01-10|2016|1|10|CONDUCTOR|MOTO|MASCULINO|18.0|SD|4|Sunday|SD|0|-58.46503904|-34.68092974|AV LARRAZABAL Y GRAL VILLEGAS CONRADO|LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.|8
4|4|2016-0005|2016-01-21|2016|1|21|CONDUCTOR|MOTO|MASCULINO|29.0|2016-02-01 00:00:00|4|Thursday|PASAJEROS|5|-58.38718297|-34.6224663|AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA |SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.|1
5|5|2016-0008|2016-01-24|2016|1|24|CONDUCTOR|MOTO|MASCULINO|30.0|2016-01-24 00:00:00|5|Sunday|OBJETO FIJO|18|-58.44451316|-34.68475866|AV 27 DE FEBRERO Y AV ESCALADA|27 DE FEBRERO AV. y ESCALADA AV.|8
6|6|2016-0009|2016-01-24|2016|1|24|PASAJERO_ACOMPAÑANTE|MOTO|MASCULINO|29.0|2016-01-26 00:00:00|4|Sunday|AUTO|19|-58.50095869|-34.6082544|NOGOYA Y JOAQUIN V. GONZALES|NOGOYA y GONZALEZ, JOAQUIN V.|11
7|7|2016-0010|2016-01-29|2016|1|29|CONDUCTOR|MOTO|MASCULINO|18.0|2016-01-29 00:00:00|4|Friday|AUTO|15|-58.50877521|-34.66977709|AV GENERAL PAZ Y AV DE LOS CORRALES|PAZ, GRAL. AV. y DE LOS CORRALES AV.|9
8|8|2016-0012|2016-02-08|2016|2|8|CONDUCTOR|MOTO|MASCULINO|22.0|2016-02-08 00:00:00|4|Monday|CARGAS|1|-58.38048577|-34.61303893|AV BELGRANO Y BERNARDO DE IRIGOYEN|BELGRANO AV. e IRIGOYEN, BERNARDO DE|1
9|9|2016-0013|2016-02-10|2016|2|10|PEATON|PEATON|MASCULINO|16.0|2016-02-10 00:00:00|3|Wednesday|AUTO|11|-58.39114932|-34.62477387|AV ENTRE RIOS 1366|ENTRE RIOS AV. 1366|1
10|10|2016-0015|2016-02-14|2016|2|14|PEATON|PEATON|FEMENINO|16.0|2016-02-14 00:00:00|3|Sunday|AUTO|5|-58.4376002|-34.59912758|AV SCALABRINI ORTIZ Y VERA|SCALABRINI ORTIZ, RAUL AV. y VERA|15
11|11|2016-0016|2016-02-14|2016|2|14|PASAJERO_ACOMPAÑANTE|MOTO|FEMENINO|19.0|2016-02-14 00:00:00|4|Sunday|AUTO|22|-58.36882665|-34.64291993|AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO|REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO|4
12|12|2016-0017|2016-02-15|2016|2|15|PEATON|PEATON|MASCULINO|59.0|2016-02-16 00:00:00|5|Monday|MOTO|16|-58.44989671|-34.65970435|MARIANO ACOSTA Y ANA MARIA JANER|ACOSTA, MARIANO y JANER, ANA MARIA|8
13|13|2016-0019|2016-02-17|2016|2|17|PEATON|PEATON|FEMENINO|65.0|2016-02-17 00:00:00|6|Wednesday|PASAJEROS|9|-58.50990884|-34.65468721|LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA |DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO|9
14|14|2016-0020|2016-02-17|2016|2|17|PEATON|PEATON|MASCULINO|59.0|2016-03-02 00:00:00|5|Wednesday|AUTO|16|-58.37952223|-34.60653282|SUIPACHA 156|SUIPACHA 156|1
15|15|2016-0021|2016-02-17|2016|2|17|CONDUCTOR|AUTO|MASCULINO|34.0|2016-02-17 00:00:00|5|Wednesday|AUTO|23|-58.45157703|-34.63063795|AV DIRECTORIO Y CURAPALIGUE|DIRECTORIO AV. y CURAPALIGUE|7
16|16|2016-0022|2016-02-21|2016|2|21|PASAJERO_ACOMPAÑANTE|MOTO|MASCULINO|41.0|SD|5|Sunday|AUTO|6|-58.38144696|-34.61079875|AV 9 DE JULIO Y ADOLFO ALSINA|9 DE JULIO AV. y ALSINA, ADOLFO|1
17|17|2016-0025|2016-02-28|2016|2|28|PASAJERO_ACOMPAÑANTE|AUTO|MASCULINO|34.0|2016-02-28 00:00:00|5|Sunday|AUTO|4|-58.46244952|-34.70524971|AV GRAL PAZ Y AV 27 DE FEBRERO|PAZ, GRAL. AV. y 27 DE FEBRERO AV.|8
18|18|2016-0026|2016-02-28|2016|2|28|CONDUCTOR|AUTO|MASCULINO|30.0|2016-03-04 00:00:00|5|Sunday|OBJETO FIJO|7|-58.49216191|-34.54738649|HOLMBERG Y VEDIA|HOLMBERG y VEDIA|12
